trial,latent_dim,conv_filters,resolved_filters,dense_units,lr,num_layers,best_val_binary_acc,best_val_recon_loss,best_val_loss,epochs_run
1,16,"(16, 32, 64)","(16, 32)",16,0.01,2,0.918887734413147,0.00027253522421233356,0.45474281907081604,30
2,16,"(16, 32, 64)","(16, 32, 64)",16,0.01,3,0.9258249402046204,0.0003158749605063349,0.49471792578697205,34
3,16,"(16, 32, 64)","(16, 32, 64, 128)",16,0.01,4,0.9192771315574646,0.0004143358673900366,0.6012162566184998,26
4,16,"(16, 32, 64)","(16, 32)",16,0.001,2,0.9325458407402039,0.0002165128680644557,0.37708890438079834,62
5,16,"(16, 32, 64)","(16, 32, 64)",16,0.001,3,0.9320987462997437,0.000232819133088924,0.3975740671157837,53
6,16,"(16, 32, 64)","(16, 32, 64, 128)",16,0.001,4,0.9358630180358887,0.00025759678101167083,0.41000238060951233,44
7,16,"(16, 32, 64)","(16, 32)",16,0.0001,2,0.919464647769928,0.00024392952036578208,0.4283095598220825,200
8,16,"(16, 32, 64)","(16, 32, 64)",16,0.0001,3,0.928695023059845,0.00025686906883493066,0.4269741177558899,148
9,16,"(16, 32, 64)","(16, 32, 64, 128)",16,0.0001,4,0.9292142391204834,0.0002960914862342179,0.4643661677837372,113
10,16,"(16, 32, 64)","(16, 32)",32,0.01,2,0.9306564927101135,0.0002371418959228322,0.3952752649784088,40
11,16,"(16, 32, 64)","(16, 32, 64)",32,0.01,3,0.927036464214325,0.00030114347464405,0.4702932834625244,43
12,16,"(16, 32, 64)","(16, 32, 64, 128)",32,0.01,4,0.9243250489234924,0.00038427909021265805,0.5595940351486206,33
13,16,"(16, 32, 64)","(16, 32)",32,0.001,2,0.9310603141784668,0.00022275897208601236,0.38360247015953064,48
14,16,"(16, 32, 64)","(16, 32, 64)",32,0.001,3,0.9371610879898071,0.00024244430824182928,0.390239417552948,44
15,16,"(16, 32, 64)","(16, 32, 64, 128)",32,0.001,4,0.9414445757865906,0.00024080750881694257,0.38379958271980286,56
16,16,"(16, 32, 64)","(16, 32)",32,0.0001,2,0.9226087331771851,0.0002646195061970502,0.44414353370666504,100
17,16,"(16, 32, 64)","(16, 32, 64)",32,0.0001,3,0.9253057837486267,0.00028593954630196095,0.45906519889831543,100
18,16,"(16, 32, 64)","(16, 32, 64, 128)",32,0.0001,4,0.9283633232116699,0.0003072659601457417,0.47583433985710144,90
