trial,latent_dim,conv_filters,dense_units,lr,num_layers,best_val_acc,best_val_recon_loss,best_val_loss,epochs_run
1,8,"(16, 32, 64)",16,0.01,2,0.9946635365486145,0.00036400509998202324,0.024365123361349106,13
2,8,"(16, 32, 64)",16,0.01,3,0.9918655157089233,0.00048387926653958857,0.03563108667731285,7
3,8,"(16, 32, 64)",16,0.01,4,0.9928270578384399,0.00044651696225628257,0.03184530884027481,13
4,8,"(16, 32, 64)",16,0.001,2,0.9949327707290649,0.0003332323976792395,0.021968428045511246,29
5,8,"(16, 32, 64)",16,0.001,3,0.9948270320892334,0.0003305089194327593,0.022270124405622482,25
6,8,"(16, 32, 64)",16,0.001,4,0.9951731562614441,0.00031810588552616537,0.02112971618771553,35
7,8,"(16, 32, 64)",16,0.0001,2,0.9943462610244751,0.0003237886121496558,0.023677896708250046,100
8,8,"(16, 32, 64)",16,0.0001,3,0.9947885870933533,0.00032824507798068225,0.022786909714341164,87
9,8,"(16, 32, 64)",16,0.0001,4,0.9937981963157654,0.0003554374270606786,0.025936303660273552,37
10,8,"(16, 32, 64)",32,0.01,2,0.9945866465568542,0.00037150323623791337,0.024562420323491096,21
11,8,"(16, 32, 64)",32,0.01,3,0.9942116737365723,0.0004171259643044323,0.02818833291530609,11
12,8,"(16, 32, 64)",32,0.01,4,0.9931058883666992,0.00047369301319122314,0.03360488638281822,13
13,8,"(16, 32, 64)",32,0.001,2,0.9948462247848511,0.00033011360210366547,0.022225040942430496,24
14,8,"(16, 32, 64)",32,0.001,3,0.9944039583206177,0.0003422102308832109,0.024115340784192085,17
15,8,"(16, 32, 64)",32,0.001,4,0.9950385689735413,0.00031454479903914034,0.02129097655415535,35
16,8,"(16, 32, 64)",32,0.0001,2,0.9945482015609741,0.0003346952726133168,0.023554649204015732,68
17,8,"(16, 32, 64)",32,0.0001,3,0.9942308664321899,0.0003243394021410495,0.02390536107122898,61
18,8,"(16, 32, 64)",32,0.0001,4,0.9943943619728088,0.0003843566810246557,0.02572365291416645,43
