trial,latent_dim,conv_filters,resolved_filters,dense_units,lr,num_layers,best_val_binary_acc,best_val_recon_loss,best_val_loss,epochs_run
1,16,"(16, 32, 64)","(16, 32)",16,0.01,2,0.926791250705719,0.00046079946332611144,0.6271705627441406,28
2,16,"(16, 32, 64)","(16, 32, 64)",16,0.01,3,0.9174166321754456,0.00045507762115448713,0.6503375768661499,35
3,16,"(16, 32, 64)","(16, 32, 64, 128)",16,0.01,4,0.9074939489364624,0.0005328985280357301,0.7417926788330078,40
4,16,"(16, 32, 64)","(16, 32)",16,0.001,2,0.9192338585853577,0.00041685724863782525,0.59659743309021,34
5,16,"(16, 32, 64)","(16, 32, 64)",16,0.001,3,0.9301949739456177,0.0004328500363044441,0.6010658740997314,22
6,16,"(16, 32, 64)","(16, 32, 64, 128)",16,0.001,4,0.9389638900756836,0.00041855365270748734,0.564540684223175,32
7,16,"(16, 32, 64)","(16, 32)",16,0.0001,2,0.8931002616882324,0.00043321563862264156,0.663378894329071,200
8,16,"(16, 32, 64)","(16, 32, 64)",16,0.0001,3,0.9096428751945496,0.00045129682985134423,0.6615995168685913,154
9,16,"(16, 32, 64)","(16, 32, 64, 128)",16,0.0001,4,0.9304113388061523,0.0004282728477846831,0.5910951495170593,155
10,16,"(16, 32, 64)","(16, 32)",32,0.01,2,0.9147629141807556,0.00044383108615875244,0.6519712209701538,15
11,16,"(16, 32, 64)","(16, 32, 64)",32,0.01,3,0.9205751419067383,0.0004624128923751414,0.6437695026397705,32
12,16,"(16, 32, 64)","(16, 32, 64, 128)",32,0.01,4,0.9194934964179993,0.000520608271472156,0.6990132331848145,33
13,16,"(16, 32, 64)","(16, 32)",32,0.001,2,0.934391975402832,0.00041444593807682395,0.5716471076011658,50
14,16,"(16, 32, 64)","(16, 32, 64)",32,0.001,3,0.9336996674537659,0.0004270030767656863,0.5797895789146423,31
15,16,"(16, 32, 64)","(16, 32, 64, 128)",32,0.001,4,0.9361515045166016,0.00043165404349565506,0.585422158241272,25
16,16,"(16, 32, 64)","(16, 32)",32,0.0001,2,0.9128591418266296,0.0004343574692029506,0.6271916627883911,200
17,16,"(16, 32, 64)","(16, 32, 64)",32,0.0001,3,0.9290267825126648,0.00043099673348478973,0.5939574241638184,186
18,16,"(16, 32, 64)","(16, 32, 64, 128)",32,0.0001,4,0.9351563453674316,0.00041591792250983417,0.5641001462936401,171
19,16,"(16, 32, 64)","(16, 32)",64,0.01,2,0.9286373853683472,0.000454909895779565,0.6149433851242065,13
20,16,"(16, 32, 64)","(16, 32, 64)",64,0.01,3,0.9189310073852539,0.0005053162458352745,0.7120159864425659,17
21,16,"(16, 32, 64)","(16, 32, 64, 128)",64,0.01,4,0.5112928152084351,0.007131445221602917,7.825448513031006,9
22,16,"(16, 32, 64)","(16, 32)",64,0.001,2,0.9318680167198181,0.0004096616758033633,0.5634204745292664,46
23,16,"(16, 32, 64)","(16, 32, 64)",64,0.001,3,0.9384446740150452,0.0004094139439985156,0.5565423965454102,47
24,16,"(16, 32, 64)","(16, 32, 64, 128)",64,0.001,4,0.9406657218933105,0.0004074444295838475,0.5430882573127747,42
25,16,"(16, 32, 64)","(16, 32)",64,0.0001,2,0.9280316233634949,0.0004396042786538601,0.6014618277549744,200
26,16,"(16, 32, 64)","(16, 32, 64)",64,0.0001,3,0.9309017062187195,0.0004286975599825382,0.585895299911499,165
27,16,"(16, 32, 64)","(16, 32, 64, 128)",64,0.0001,4,0.9340457916259766,0.00042796204797923565,0.5795702934265137,129
28,16,"(16, 32, 64)","(16, 32)",128,0.01,2,0.9283921718597412,0.00045323974336497486,0.6120397448539734,29
29,16,"(16, 32, 64)","(16, 32, 64)",128,0.01,3,0.9276566505432129,0.00046395970275625587,0.633277416229248,22
