model_type,latent_dim,activation,output_activation,dropout,l2_reg,batch_norm,noise_std,optimizer,learning_rate,batch_size,loss,n_layers,start_width,width_strategy,n_conv_layers,kernel_size,n_filters_start,filter_strategy,widths,n_params,best_epoch,train_loss,val_loss,best_val_loss,overfit_gap,is_overfit,val_clf_accuracy,val_photon_err_pct,val_neutron_err_pct,composite_score,train_time_s,filters,spatial
dense,8,leaky_relu,sigmoid,0.1,1e-05,False,0.0,nadam,0.003,256,mae,1.0,64.0,geometric,,,,,[64],14576,22,0.027070552110671997,0.02706567943096161,0.02706567943096161,-0.0001799992733974285,False,0.9870290955943155,1.5624076445670378,1.0441902830206395,0.02001829191832305,27.8,,
dense,8,swish,sigmoid,0.3,0.0001,False,0.02,nadam,0.003,512,mse,2.0,64.0,linear,,,,,"[64, 16]",15888,23,0.0049637602642178535,0.004967269022017717,0.004967269022017717,0.0007068749522730416,False,0.48801946116420836,0.0,100.0,0.2584739039289047,20.6,,
dense,8,swish,sigmoid,0.2,0.0001,True,0.0,nadam,0.003,1024,mae,4.0,32.0,funnel,,,,,"[256, 128, 16, 8]",127456,24,0.03063252940773964,0.030623704195022583,0.030623704195022583,-0.0002880993795708718,False,0.9822599565392973,2.1653039109447345,1.4010178977219372,0.024181873827862632,25.5,,
cnn,8,elu,sigmoid,0.0,1e-05,True,0.0,adam,0.0001,512,mse,,,,3.0,7.0,32.0,double,,173705,24,0.0020291940309107304,0.0020295127760618925,0.0020295127760618925,0.00015707968104907655,False,0.987365627584085,1.4106984533543494,1.1230679662704002,0.007331942595988461,36.9,"[32, 64, 128]",13.0
cnn,8,elu,linear,0.0,1e-05,False,0.02,adamw,0.003,512,huber,,,,2.0,7.0,32.0,double,,57545,25,0.0009712373139336705,0.0009703876567073166,0.0009703876567073166,-0.0008748193815913359,False,0.9876252379761927,1.3161264900009852,1.1625068078952805,0.006672574840257295,24.5,"[32, 64]",26.0
dense,8,leaky_relu,linear,0.2,0.0,False,0.05,adam,0.003,512,huber,4.0,64.0,linear,,,,,"[64, 48, 32, 16]",24240,10,0.0012377869570627809,0.0012371247867122293,0.0012371247867122293,-0.0005349631023119755,False,0.9830964789138671,1.6786523495222145,1.7015043101019776,0.00907032293642257,18.3,,
dense,8,leaky_relu,linear,0.3,0.0001,False,0.02,nadam,0.003,256,mae,1.0,64.0,funnel,,,,,[256],57968,22,0.028414826840162277,0.028407994657754898,0.028407994657754898,-0.00024044427389303534,False,0.9863079556162382,1.656979607920402,1.0948973651097715,0.021050019520758356,29.0,,
dense,8,relu,linear,0.3,0.001,True,0.0,nadam,0.0001,1024,huber,3.0,128.0,geometric,,,,,"[128, 64, 32]",49968,25,0.004532350227236748,0.004539694171398878,0.004539694171398878,0.0016203390722097312,False,0.9765485279129248,3.4932518963648898,1.2507746915319173,0.013995583129237044,21.2,,
cnn,8,elu,linear,0.0,0.0001,False,0.0,nadam,0.001,1024,huber,,,,2.0,3.0,32.0,double,,40905,25,0.0012252595042809844,0.0012248341226950288,0.0012248341226950288,-0.00034717672825173906,False,0.9893752043229938,1.132893311003842,0.9953612410088831,0.005924814899850639,18.0,"[32, 64]",26.0
dense,8,swish,sigmoid,0.0,0.0001,True,0.02,adam,0.0003,1024,mae,1.0,256.0,geometric,,,,,[256],60016,23,0.027935456484556198,0.027928076684474945,0.027928076684474945,-0.0002641732411042895,False,0.9867598700025,1.3791744655698945,1.271433132383045,0.02058410334098748,13.5,,
