model_type,latent_dim,activation,output_activation,dropout,l2_reg,batch_norm,noise_std,optimizer,learning_rate,batch_size,loss,n_conv_layers,kernel_size,n_filters_start,filter_strategy,n_layers,start_width,width_strategy,filters,spatial,skips,n_params,best_epoch,train_loss,val_loss,best_val_loss,overfit_gap,is_overfit,val_strict_acc,val_primary_acc,val_secondary_acc,composite_score,train_time_s,widths
unet,4,relu,linear,0.1,0.0,False,0.0,nadam,0.0001,1024,mse,2.0,3.0,16.0,double,,,,"[16, 32]",26.0,True,10773,25,1.0859454278033809e-06,1.085294456970587e-06,1.085294456970587e-06,-0.0005994507791342134,False,0.3119880004615207,0.5703530633437176,0.5450271143417561,0.3440065424164681,11.1,
dense,4,elu,linear,0.1,1e-05,True,0.0,adam,0.003,512,mse,,,,,2.0,64.0,linear,,,,15228,25,0.0003924808988813311,0.0003915783890988678,0.0003915783890988678,-0.002299499886582229,False,0.2994980962270682,0.5539402330679589,0.5443636783200646,0.35044674108101537,13.1,"[64, 8]"
dense,4,swish,linear,0.2,1e-05,True,0.0,nadam,0.003,1024,mae,,,,,4.0,32.0,funnel,,,,34060,25,0.009945517405867577,0.009927401319146156,0.009927401319146156,-0.00182153285566946,False,0.4231279566170532,0.6566574362524519,0.6651667243567555,0.2933997223510465,15.7,"[64, 64, 64, 16]"
cnn,16,elu,linear,0.0,0.0001,False,0.05,adam,0.0003,256,mse,3.0,5.0,64.0,constant,,,,"[64, 64, 64]",13.0,,110353,25,0.00047047005500644445,0.0004702012811321765,0.0004702012811321765,-0.0005712879521402359,False,0.5642956040152302,0.7005884389061959,0.8028441213799469,0.218087298632951,21.0,
dense,16,leaky_relu,linear,0.2,0.0001,False,0.02,nadam,0.0003,256,mse,,,,,4.0,128.0,funnel,,,,129496,25,0.0025308902841061354,0.0025315703824162483,0.0025315703824162483,0.00026871900152445824,False,0.3116130148840429,0.585496711664936,0.5364312911041883,0.34545927774918667,21.8,"[256, 128, 32, 16]"
unet,8,leaky_relu,linear,0.1,0.0,True,0.1,adamw,0.0001,256,huber,3.0,3.0,64.0,constant,,,,"[64, 64, 64]",13.0,True,78281,25,1.8786179225571686e-06,1.8738536482487689e-06,1.8738536482487689e-06,-0.0025360528350089665,False,0.353899850005769,0.5871985692857967,0.6081112264912888,0.3230510119239396,28.2,
cnn,32,elu,linear,0.1,0.0,True,0.1,nadam,0.003,512,mae,2.0,7.0,32.0,double,,,,"[32, 64]",26.0,,137953,9,0.007234465796500444,0.007222125306725502,0.007222125306725502,-0.0017057914325770826,False,0.605544017537787,0.7567785854390215,0.8089304257528557,0.20083905388446927,12.0,
dense,4,elu,linear,0.3,0.0001,False,0.1,adamw,0.003,1024,mse,,,,,5.0,32.0,funnel,,,,4636,25,0.0036596565041691065,0.003659493289887905,0.003659493289887905,-4.459825150678151e-05,False,0.24010614976347064,0.49007730471904926,0.48733702549901925,0.3817766717632086,13.5,"[16, 16, 8, 8, 8]"
unet,4,leaky_relu,linear,0.0,1e-05,True,0.02,adamw,0.0001,1024,huber,3.0,7.0,16.0,double,,,,"[16, 32, 64]",13.0,True,48245,1,0.0020397810731083155,0.0020398239139467478,0.0020398239139467478,2.1002664941404276e-05,False,0.3044017537787008,0.5717087804315218,0.5290181146878966,0.34881903506762296,10.7,
unet,16,elu,linear,0.2,0.0,False,0.05,adamw,0.0001,256,mse,3.0,3.0,16.0,double,,,,"[16, 32, 64]",13.0,True,44673,25,3.161289185982241e-08,3.1599199701304315e-08,3.1599199701304315e-08,-0.00043311945578439236,False,0.43186800507672785,0.6634071766470521,0.662628360447675,0.28406601326123593,20.6,
