lstm_units,n_lstm_layers,dense_units,dropout,recurrent_dropout,learning_rate,batch_size,optimizer,n_params,best_epoch,train_loss,train_acc,val_loss,val_acc,overfit_gap,is_overfit,composite_score,train_time_s
64,2,32,0.15,0.0,0.001,256,adam,136769,21,0.07866283506155014,0.9742935299873352,0.07947517186403275,0.974327564239502,-3.403425216674805e-05,False,0.052573803812265396,289.3
32,1,32,0.15,0.0,0.001,256,adam,10817,11,0.1729917824268341,0.9379380941390991,0.1721297949552536,0.9380399584770203,-0.00010186433792114258,False,0.11704491823911667,98.4
32,1,16,0.15,0.0,0.001,256,adam,9761,17,0.13862748444080353,0.9494235515594482,0.1394883394241333,0.9492896795272827,0.00013387203216552734,False,0.09509932994842529,133.2
32,2,32,0.1,0.0,0.001,1024,adam,35649,13,0.14380502700805664,0.9459524154663086,0.1449507474899292,0.946390688419342,-0.00043827295303344727,False,0.09928002953529358,73.5
32,2,16,0.25,0.0,0.002,1024,adam,34593,4,0.15506421029567719,0.9371448159217834,0.1557922661304474,0.9364967346191406,0.0006480813026428223,False,0.10964776575565338,39.3
32,2,16,0.2,0.0,0.002,256,adam,34593,14,0.09061996638774872,0.9688801169395447,0.09166926145553589,0.9681690335273743,0.0007110834121704102,False,0.06175011396408081,216.3
32,1,32,0.2,0.0,0.002,1024,adam,10817,4,0.17721353471279144,0.9298179745674133,0.17690950632095337,0.9295594096183777,0.00025856494903564453,False,0.12367504835128784,19.2
32,1,32,0.1,0.0,0.002,512,adam,10817,8,0.1623763144016266,0.9376352429389954,0.1622183918952942,0.9369294047355652,0.0007058382034301758,False,0.1126444935798645,45.0
64,2,32,0.25,0.0,0.001,512,adam,136769,1,0.18503759801387787,0.9247603416442871,0.18553583323955536,0.9246268272399902,0.000133514404296875,False,0.13045450299978256,50.9
64,2,16,0.15,0.0,0.0005,256,adam,134689,2,0.16516262292861938,0.929380476474762,0.16591010987758636,0.9288815259933472,0.0004989504814147949,False,0.1185142919421196,94.9
32,1,16,0.3,0.0,0.002,1024,adam,9761,4,0.19763712584972382,0.9258997440338135,0.19732272624969482,0.925708532333374,0.00019121170043945312,False,0.1358070969581604,19.7
64,2,16,0.25,0.0,0.001,1024,adam,134689,1,0.1537376195192337,0.9423178434371948,0.1546366810798645,0.9411841034889221,0.001133739948272705,False,0.10672628879547119,36.8
64,1,16,0.3,0.0,0.0005,256,adam,35873,1,0.1894422322511673,0.9264189600944519,0.18925872445106506,0.9262133240699768,0.00020563602447509766,False,0.13152270019054413,41.6
32,1,16,0.15,0.0,0.002,512,adam,9761,20,0.12509125471115112,0.9543610215187073,0.12559059262275696,0.954106867313385,0.0002541542053222656,False,0.08574186265468597,79.7
32,1,16,0.15,0.0,0.002,256,adam,9761,8,0.1476864069700241,0.9401784539222717,0.1473114788532257,0.9412994980812073,-0.0011210441589355469,False,0.10300599038600922,80.2
32,1,32,0.1,0.0,0.0005,1024,adam,10817,23,0.16207106411457062,0.9372650384902954,0.16069264709949493,0.9375495910644531,-0.00028455257415771484,False,0.1115715280175209,46.5
32,2,16,0.2,0.0,0.001,256,adam,34593,13,0.1331096589565277,0.9566062092781067,0.1343921273946762,0.9558664560317993,0.000739753246307373,False,0.08926283568143845,207.2
32,2,16,0.25,0.0,0.0005,1024,adam,34593,3,0.18157102167606354,0.9283612370491028,0.18354642391204834,0.9270786643028259,0.0012825727462768555,False,0.1282338798046112,35.8
64,1,32,0.25,0.0,0.002,256,adam,37953,4,0.17321522533893585,0.9305198788642883,0.17288102209568024,0.9306843876838684,-0.00016450881958007812,False,0.12109831720590591,59.1
64,2,16,0.3,0.0,0.0005,1024,adam,134689,1,0.1671554148197174,0.936375617980957,0.16852623224258423,0.9360784888267517,0.00029712915420532227,False,0.11622387170791626,36.8
32,1,16,0.15,0.0,0.001,512,adam,9761,10,0.13648845255374908,0.9501543045043945,0.13748562335968018,0.9496069550514221,0.0005473494529724121,False,0.09393933415412903,51.2
64,2,16,0.15,0.0,0.002,1024,adam,134689,22,0.08534698933362961,0.9713656306266785,0.08553628623485565,0.9712987542152405,6.687641143798828e-05,False,0.05711876600980759,127.7
32,2,16,0.15,0.0,0.0005,1024,adam,34593,4,0.16220329701900482,0.9375342726707458,0.16345541179180145,0.9371457695960999,0.0003885030746459961,False,0.1131548210978508,39.4
64,2,32,0.15,0.0,0.002,1024,adam,136769,11,0.10899284482002258,0.960798442363739,0.10950447618961334,0.9609287977218628,-0.0001303553581237793,False,0.07428783923387527,87.5
64,2,32,0.3,0.0,0.002,1024,adam,136769,11,0.11450125277042389,0.9575340747833252,0.11433430016040802,0.9577269554138184,-0.00019288063049316406,False,0.07830367237329483,87.3
