lstm_units,n_lstm_layers,dense_units,dropout,recurrent_dropout,learning_rate,batch_size,optimizer,n_params,best_epoch,train_loss,train_acc,val_loss,val_acc,overfit_gap,is_overfit,composite_score,train_time_s
128,1,16,0.1,0.1,0.001,256,adam,137249,22,0.0975877121090889,0.9658032059669495,0.09820234030485153,0.9654864072799683,0.00031679868698120117,False,0.06635796651244164,2086.7
32,1,64,0.1,0.1,0.0005,512,adam,12929,23,0.1346682757139206,0.9508610367774963,0.13482347130775452,0.9505877494812012,0.000273287296295166,False,0.09211786091327667,1078.4
32,1,16,0.2,0.2,0.001,1024,adam,9761,1,0.2689492106437683,0.8947798609733582,0.26836666464805603,0.8943679332733154,0.0004119277000427246,False,0.1869993656873703,153.3
128,1,64,0.1,0.0,0.001,1024,nadam,149633,13,0.1643287092447281,0.9359862208366394,0.1632906049489975,0.9358188509941101,0.00016736984252929688,False,0.1137358769774437,61.7
32,2,64,0.1,0.2,0.001,512,adam,37761,24,0.10036187618970871,0.9652311205863953,0.10046031326055527,0.9646066427230835,0.0006244778633117676,False,0.06792683526873589,2293.6
32,2,32,0.3,0.1,0.001,1024,nadam,35649,17,0.11176761239767075,0.9598369002342224,0.11229709535837173,0.9595009684562683,0.00033593177795410156,False,0.07639806345105171,1051.3
32,2,32,0.1,0.2,0.002,256,adamw,35649,22,0.07897856086492538,0.9740146994590759,0.0793776586651802,0.9738515615463257,0.00016313791275024414,False,0.05276304855942726,4582.8
32,1,64,0.3,0.1,0.002,256,adam,12929,3,0.20363479852676392,0.9116835594177246,0.2033759206533432,0.9104348421096802,0.0012487173080444336,False,0.1464705392718315,770.2
128,1,32,0.4,0.2,0.001,512,adam,141377,5,0.19968341290950775,0.9237603545188904,0.1993209570646286,0.9232277870178223,0.0005325675010681152,False,0.13804658502340317,456.6
32,1,32,0.4,0.2,0.0005,256,nadam,10817,4,0.35784995555877686,0.811602771282196,0.3575960695743561,0.8120429515838623,-0.00044018030166625977,False,0.2727765589952469,859.8
128,1,16,0.4,0.0,0.002,1024,nadam,137249,5,0.4404727816581726,0.5977634787559509,0.440498024225235,0.6000000238418579,-0.0022365450859069824,False,0.42024900019168854,36.1
128,1,64,0.1,0.0,0.001,256,adamw,149633,3,0.1832558661699295,0.9262603521347046,0.18262672424316406,0.9262133240699768,4.70280647277832e-05,False,0.12820670008659363,57.1
128,2,32,0.4,0.2,0.0001,256,adam,535617,1,0.2383042871952057,0.8966452479362488,0.23814792931079865,0.8954063653945923,0.0012388825416564941,False,0.17137078195810318,1244.3
64,2,32,0.2,0.1,0.0001,512,adam,136769,2,0.22284486889839172,0.9029721021652222,0.22290053963661194,0.901362955570221,0.0016091465950012207,False,0.1607687920331955,704.4
32,1,32,0.3,0.1,0.002,256,adamw,10817,4,0.18494956195354462,0.9300631880760193,0.18442203104496002,0.929343044757843,0.0007201433181762695,False,0.1275394931435585,858.4
64,2,64,0.1,0.2,0.0005,512,adamw,140929,18,0.10044924914836884,0.9647839665412903,0.10063029080629349,0.9641450643539429,0.0006389021873474121,False,0.06824261322617531,2114.2
64,1,64,0.1,0.0,0.0001,256,adam,42113,4,0.16334323585033417,0.9358034729957581,0.16383488476276398,0.934910237789154,0.0008932352066040039,False,0.11446232348680496,59.0
32,1,16,0.3,0.1,0.0001,1024,nadam,9761,7,0.2614755928516388,0.8984144330024719,0.2605111002922058,0.898305356502533,0.00010907649993896484,False,0.18110287189483643,284.4
